"subject","room_condition","dimension","value","block","experiment"
1,"Congruent VE","Depth",10,1,1
1,"Congruent VE","Width",5,1,1
1,"Congruent VE","Height",2.8,1,1
2,"Congruent VE","Depth",11,2,1
2,"Congruent VE","Width",6.5,2,1
2,"Congruent VE","Height",4,2,1
3,"Congruent VE","Depth",10,1,1
3,"Congruent VE","Width",5,1,1
3,"Congruent VE","Height",4,1,1
4,"Congruent VE","Height",5,2,1
5,"Congruent VE","Depth",15,1,1
5,"Congruent VE","Height",4,1,1
6,"Congruent VE","Depth",8,2,1
6,"Congruent VE","Width",3,2,1
6,"Congruent VE","Height",3,2,1
7,"Congruent VE","Depth",7,1,1
7,"Congruent VE","Width",4,1,1
7,"Congruent VE","Height",3,1,1
8,"Congruent VE","Depth",11,2,1
8,"Congruent VE","Width",8,2,1
8,"Congruent VE","Height",4,2,1
9,"Congruent VE","Depth",8,1,1
9,"Congruent VE","Width",7,1,1
9,"Congruent VE","Height",5,1,1
10,"Congruent VE","Depth",9.5,2,1
10,"Congruent VE","Height",3.5,2,1
11,"Congruent VE","Depth",8,1,1
11,"Congruent VE","Width",5,1,1
11,"Congruent VE","Height",3.5,1,1
12,"Congruent VE","Depth",10,1,1
12,"Congruent VE","Height",2.5,1,1
13,"Congruent VE","Depth",7,2,1
13,"Congruent VE","Width",5,2,1
13,"Congruent VE","Height",4,2,1
14,"Congruent VE","Depth",6,1,1
14,"Congruent VE","Width",4,1,1
14,"Congruent VE","Height",2.5,1,1
15,"Congruent VE","Depth",9,2,1
15,"Congruent VE","Width",5,2,1
15,"Congruent VE","Height",5,2,1
16,"Congruent VE","Depth",7,1,1
16,"Congruent VE","Width",4.5,1,1
16,"Congruent VE","Height",2.5,1,1
17,"Congruent VE","Depth",4,2,1
17,"Congruent VE","Width",3,2,1
17,"Congruent VE","Height",2.1,2,1
18,"Congruent VE","Depth",15,1,1
18,"Congruent VE","Height",5,1,1
19,"Congruent VE","Depth",10,2,1
19,"Congruent VE","Width",5,2,1
19,"Congruent VE","Height",2.5,2,1
20,"Congruent VE","Depth",8,1,1
21,"Congruent VE","Depth",5.6,2,1
21,"Congruent VE","Width",3.7,2,1
21,"Congruent VE","Height",3,2,1
23,"Congruent VE","Depth",12,2,1
23,"Congruent VE","Height",3.5,2,1
24,"Congruent VE","Depth",4,1,1
24,"Congruent VE","Width",3,1,1
24,"Congruent VE","Height",2.5,1,1
25,"Congruent VE","Depth",10,2,1
25,"Congruent VE","Width",4,2,1
25,"Congruent VE","Height",4,2,1
26,"Congruent VE","Depth",4.5,1,1
26,"Congruent VE","Width",3,1,1
26,"Congruent VE","Height",2.5,1,1
27,"Congruent VE","Depth",10,2,1
27,"Congruent VE","Width",5,2,1
27,"Congruent VE","Height",2.8,2,1
29,"Congruent VE","Depth",6,2,1
29,"Congruent VE","Width",4,2,1
29,"Congruent VE","Height",3,2,1
30,"Congruent VE","Depth",4,1,1
30,"Congruent VE","Width",3.5,1,1
30,"Congruent VE","Height",3.5,1,1
31,"Congruent VE","Depth",3,2,1
31,"Congruent VE","Width",6,2,1
31,"Congruent VE","Height",3,2,1
32,"Congruent VE","Depth",10,1,1
32,"Congruent VE","Width",6,1,1
32,"Congruent VE","Height",3,1,1
33,"Congruent VE","Depth",9,2,1
33,"Congruent VE","Width",4,2,1
33,"Congruent VE","Height",3,2,1
34,"Congruent VE","Depth",10,1,1
34,"Congruent VE","Width",6,1,1
34,"Congruent VE","Height",3,1,1
35,"Congruent VE","Depth",7,2,1
35,"Congruent VE","Width",3.5,2,1
35,"Congruent VE","Height",4,2,1
36,"Congruent VE","Height",5,1,1
37,"Congruent VE","Depth",10,2,1
37,"Congruent VE","Width",9,2,1
37,"Congruent VE","Height",2.5,2,1
38,"Congruent VE","Depth",2,1,1
38,"Congruent VE","Width",3,1,1
38,"Congruent VE","Height",2,1,1
39,"Congruent VE","Depth",9,2,1
39,"Congruent VE","Width",6,2,1
39,"Congruent VE","Height",2.5,2,1
40,"Congruent VE","Depth",9,1,1
40,"Congruent VE","Width",6,1,1
40,"Congruent VE","Height",3,1,1
41,"Congruent VE","Depth",5,2,1
41,"Congruent VE","Width",4,2,1
41,"Congruent VE","Height",3,2,1
42,"Congruent VE","Depth",4,1,1
42,"Congruent VE","Width",2,1,1
42,"Congruent VE","Height",2.5,1,1
43,"Congruent VE","Depth",4,2,1
43,"Congruent VE","Width",2,2,1
43,"Congruent VE","Height",1.5,2,1
44,"Congruent VE","Depth",10,1,1
44,"Congruent VE","Height",5,1,1
45,"Congruent VE","Depth",17,2,1
46,"Congruent VE","Depth",6,1,1
46,"Congruent VE","Width",4,1,1
46,"Congruent VE","Height",3.5,1,1
47,"Congruent VE","Depth",15,2,1
48,"Congruent VE","Depth",3,1,1
48,"Congruent VE","Width",4.5,1,1
48,"Congruent VE","Height",2,1,1
49,"Congruent VE","Depth",3,2,1
49,"Congruent VE","Width",2.5,2,1
49,"Congruent VE","Height",1.5,2,1
50,"Congruent VE","Depth",6,1,1
50,"Congruent VE","Width",3,1,1
50,"Congruent VE","Height",3,1,1
1,"Small VE","Depth",7,2,1
1,"Small VE","Width",5,2,1
1,"Small VE","Height",2.5,2,1
2,"Small VE","Depth",8,1,1
2,"Small VE","Width",6,1,1
2,"Small VE","Height",4.5,1,1
3,"Small VE","Depth",6,2,1
3,"Small VE","Width",3,2,1
3,"Small VE","Height",3,2,1
4,"Small VE","Depth",15,1,1
4,"Small VE","Height",5,1,1
5,"Small VE","Depth",10,2,1
5,"Small VE","Height",4,2,1
6,"Small VE","Depth",5,1,1
6,"Small VE","Width",2,1,1
6,"Small VE","Height",3,1,1
7,"Small VE","Depth",5,2,1
7,"Small VE","Width",4,2,1
7,"Small VE","Height",3,2,1
8,"Small VE","Depth",7,1,1
8,"Small VE","Width",7,1,1
8,"Small VE","Height",4.3,1,1
9,"Small VE","Depth",8,2,1
9,"Small VE","Width",5,2,1
9,"Small VE","Height",5,2,1
10,"Small VE","Depth",8,1,1
10,"Small VE","Height",5,1,1
11,"Small VE","Depth",4.5,2,1
11,"Small VE","Width",5,2,1
11,"Small VE","Height",3.5,2,1
12,"Small VE","Depth",4,2,1
13,"Small VE","Depth",6,1,1
13,"Small VE","Width",5,1,1
13,"Small VE","Height",4,1,1
14,"Small VE","Depth",4.5,2,1
14,"Small VE","Width",4,2,1
14,"Small VE","Height",3,2,1
15,"Small VE","Depth",3,1,1
15,"Small VE","Width",5,1,1
15,"Small VE","Height",4,1,1
16,"Small VE","Depth",5,2,1
16,"Small VE","Width",4.5,2,1
16,"Small VE","Height",2.5,2,1
17,"Small VE","Depth",2,1,1
17,"Small VE","Width",3,1,1
17,"Small VE","Height",2.1,1,1
18,"Small VE","Depth",10,2,1
18,"Small VE","Height",4.5,2,1
19,"Small VE","Depth",7,1,1
19,"Small VE","Width",5,1,1
19,"Small VE","Height",2.5,1,1
20,"Small VE","Depth",4,2,1
21,"Small VE","Depth",3,1,1
21,"Small VE","Width",3,1,1
21,"Small VE","Height",2.3,1,1
22,"Small VE","Depth",15,2,1
23,"Small VE","Depth",10,1,1
23,"Small VE","Width",8.5,1,1
23,"Small VE","Height",3,1,1
24,"Small VE","Depth",3.5,2,1
24,"Small VE","Width",4,2,1
24,"Small VE","Height",2.5,2,1
25,"Small VE","Depth",6,1,1
25,"Small VE","Width",4,1,1
25,"Small VE","Height",4,1,1
26,"Small VE","Depth",3.5,2,1
26,"Small VE","Width",3,2,1
26,"Small VE","Height",2.5,2,1
27,"Small VE","Depth",7,1,1
27,"Small VE","Width",5,1,1
27,"Small VE","Height",2.8,1,1
28,"Small VE","Depth",10,2,1
29,"Small VE","Depth",8,1,1
29,"Small VE","Width",4,1,1
29,"Small VE","Height",3,1,1
30,"Small VE","Depth",2.5,2,1
30,"Small VE","Width",3.5,2,1
30,"Small VE","Height",3,2,1
31,"Small VE","Depth",8,1,1
31,"Small VE","Width",6,1,1
31,"Small VE","Height",4,1,1
32,"Small VE","Depth",6,2,1
32,"Small VE","Width",5,2,1
32,"Small VE","Height",2.5,2,1
33,"Small VE","Depth",5,1,1
33,"Small VE","Width",4,1,1
33,"Small VE","Height",3,1,1
34,"Small VE","Depth",5,2,1
34,"Small VE","Width",4,2,1
34,"Small VE","Height",3,2,1
35,"Small VE","Depth",5,1,1
35,"Small VE","Width",3.5,1,1
35,"Small VE","Height",4,1,1
36,"Small VE","Height",5,2,1
37,"Small VE","Depth",5,1,1
37,"Small VE","Width",7,1,1
37,"Small VE","Height",2.5,1,1
38,"Small VE","Depth",2,2,1
38,"Small VE","Width",2,2,1
38,"Small VE","Height",1.5,2,1
39,"Small VE","Depth",9,1,1
39,"Small VE","Width",6,1,1
39,"Small VE","Height",2.5,1,1
40,"Small VE","Depth",8,2,1
40,"Small VE","Width",7,2,1
40,"Small VE","Height",3.5,2,1
41,"Small VE","Depth",2,1,1
41,"Small VE","Width",3,1,1
41,"Small VE","Height",2.5,1,1
42,"Small VE","Depth",3,2,1
42,"Small VE","Width",2,2,1
42,"Small VE","Height",2.5,2,1
43,"Small VE","Depth",2,1,1
43,"Small VE","Width",1,1,1
43,"Small VE","Height",1,1,1
44,"Small VE","Depth",5,2,1
44,"Small VE","Height",3,2,1
45,"Small VE","Depth",15,1,1
46,"Small VE","Depth",4,2,1
46,"Small VE","Width",4,2,1
46,"Small VE","Height",3.5,2,1
47,"Small VE","Depth",6,1,1
47,"Small VE","Height",5,1,1
48,"Small VE","Depth",1.5,2,1
48,"Small VE","Width",2.5,2,1
48,"Small VE","Height",3,2,1
49,"Small VE","Depth",2,1,1
49,"Small VE","Width",2.5,1,1
49,"Small VE","Height",1.5,1,1
50,"Small VE","Depth",5,2,1
50,"Small VE","Width",3,2,1
50,"Small VE","Height",3,2,1
3,"No visual info","Depth",4,1,2
3,"Visual info","Depth",7,2,2
4,"No visual info","Depth",4,1,2
4,"Visual info","Depth",10,2,2
5,"No visual info","Depth",6,1,2
5,"Visual info","Depth",15,2,2
6,"No visual info","Depth",5,1,2
6,"Visual info","Depth",9,2,2
7,"No visual info","Depth",5,1,2
7,"Visual info","Depth",8,2,2
8,"No visual info","Depth",3,1,2
8,"Visual info","Depth",6,2,2
9,"No visual info","Depth",6,1,2
9,"Visual info","Depth",12,2,2
10,"No visual info","Depth",10,1,2
11,"No visual info","Depth",8,1,2
11,"Visual info","Depth",6,2,2
12,"No visual info","Depth",3,1,2
12,"Visual info","Depth",8,2,2
13,"No visual info","Depth",3,1,2
13,"Visual info","Depth",6,2,2
14,"No visual info","Depth",6,1,2
14,"Visual info","Depth",10,2,2
15,"No visual info","Depth",10,1,2
15,"Visual info","Depth",8,2,2
17,"No visual info","Depth",10,1,2
18,"No visual info","Depth",6,1,2
18,"Visual info","Depth",10,2,2
19,"No visual info","Depth",4,1,2
19,"Visual info","Depth",5,2,2
20,"No visual info","Depth",5,1,2
20,"Visual info","Depth",8.5,2,2
1,"Visual info","Width",3,2,2
3,"No visual info","Width",3,1,2
3,"Visual info","Width",6,2,2
4,"No visual info","Width",3,1,2
4,"Visual info","Width",4,2,2
5,"No visual info","Width",3,1,2
5,"Visual info","Width",6,2,2
6,"No visual info","Width",4,1,2
6,"Visual info","Width",5,2,2
7,"No visual info","Width",5,1,2
7,"Visual info","Width",5,2,2
8,"No visual info","Width",5,1,2
8,"Visual info","Width",8,2,2
9,"No visual info","Width",6,1,2
9,"Visual info","Width",6,2,2
10,"No visual info","Width",7,1,2
10,"Visual info","Width",8,2,2
11,"No visual info","Width",4,1,2
11,"Visual info","Width",4,2,2
12,"Visual info","Width",5,2,2
13,"No visual info","Width",4.5,1,2
13,"Visual info","Width",4.5,2,2
14,"No visual info","Width",6,1,2
15,"No visual info","Width",7,1,2
15,"Visual info","Width",5.5,2,2
18,"No visual info","Width",6,1,2
18,"Visual info","Width",6,2,2
19,"No visual info","Width",2,1,2
19,"Visual info","Width",3,2,2
20,"No visual info","Width",5,1,2
20,"Visual info","Width",5,2,2
1,"Visual info","Height",2.5,2,2
2,"Visual info","Height",5,2,2
3,"No visual info","Height",3,1,2
3,"Visual info","Height",3,2,2
4,"No visual info","Height",3,1,2
4,"Visual info","Height",3,2,2
5,"No visual info","Height",3,1,2
5,"Visual info","Height",3,2,2
6,"No visual info","Height",3,1,2
6,"Visual info","Height",3.5,2,2
7,"No visual info","Height",4,1,2
7,"Visual info","Height",4,2,2
9,"No visual info","Height",4,1,2
9,"Visual info","Height",4,2,2
10,"No visual info","Height",3,1,2
10,"Visual info","Height",3,2,2
11,"Visual info","Height",2.5,2,2
12,"No visual info","Height",2.5,1,2
12,"Visual info","Height",3,2,2
13,"No visual info","Height",3,1,2
13,"Visual info","Height",2.8,2,2
16,"No visual info","Height",3,1,2
16,"Visual info","Height",3,2,2
17,"No visual info","Height",5,1,2
17,"Visual info","Height",3,2,2
18,"No visual info","Height",3,1,2
18,"Visual info","Height",4,2,2
19,"No visual info","Height",2,1,2
19,"Visual info","Height",2,2,2
20,"No visual info","Height",3,1,2
20,"Visual info","Height",3.5,2,2
1,"No visual info","Depth",17,1,3
1,"Congruent VE","Depth",12,2,3
2,"No visual info","Depth",10,1,3
2,"Congruent VE","Depth",10,2,3
3,"No visual info","Depth",3,1,3
3,"Congruent VE","Depth",4.5,2,3
4,"No visual info","Depth",12,1,3
4,"Congruent VE","Depth",13,2,3
5,"No visual info","Depth",4,1,3
5,"Congruent VE","Depth",6,2,3
6,"No visual info","Depth",4,1,3
6,"Congruent VE","Depth",6,2,3
7,"Congruent VE","Depth",5,2,3
8,"No visual info","Depth",4,1,3
8,"Congruent VE","Depth",6,2,3
9,"No visual info","Depth",5,1,3
9,"Congruent VE","Depth",10,2,3
11,"No visual info","Depth",6,1,3
11,"Congruent VE","Depth",7,2,3
12,"No visual info","Depth",2,1,3
12,"Congruent VE","Depth",6,2,3
14,"No visual info","Depth",4,1,3
14,"Congruent VE","Depth",8,2,3
15,"No visual info","Depth",6,1,3
15,"Congruent VE","Depth",10,2,3
16,"No visual info","Depth",15,1,3
16,"Congruent VE","Depth",15,2,3
17,"No visual info","Depth",5,1,3
17,"Congruent VE","Depth",6,2,3
18,"No visual info","Depth",11,1,3
19,"No visual info","Depth",3.5,1,3
19,"Congruent VE","Depth",5,2,3
20,"No visual info","Depth",4,1,3
20,"Congruent VE","Depth",10,2,3
1,"No visual info","Width",7,1,3
1,"Congruent VE","Width",5,2,3
2,"No visual info","Width",8,1,3
2,"Congruent VE","Width",7,2,3
3,"No visual info","Width",2,1,3
3,"Congruent VE","Width",3.5,2,3
5,"No visual info","Width",4,1,3
5,"Congruent VE","Width",5,2,3
6,"No visual info","Width",3,1,3
6,"Congruent VE","Width",2,2,3
7,"Congruent VE","Width",2.5,2,3
8,"No visual info","Width",4,1,3
8,"Congruent VE","Width",3.5,2,3
9,"No visual info","Width",5,1,3
9,"Congruent VE","Width",6,2,3
11,"No visual info","Width",6,1,3
11,"Congruent VE","Width",5,2,3
12,"No visual info","Width",2,1,3
12,"Congruent VE","Width",4,2,3
13,"Congruent VE","Width",5,2,3
14,"No visual info","Width",2,1,3
14,"Congruent VE","Width",3.5,2,3
15,"No visual info","Width",5,1,3
15,"Congruent VE","Width",6,2,3
16,"No visual info","Width",6,1,3
16,"Congruent VE","Width",7.5,2,3
17,"No visual info","Width",5,1,3
17,"Congruent VE","Width",5,2,3
19,"No visual info","Width",3.5,1,3
19,"Congruent VE","Width",4,2,3
20,"No visual info","Width",3,1,3
20,"Congruent VE","Width",5,2,3
1,"Congruent VE","Height",3,2,3
2,"No visual info","Height",3,1,3
2,"Congruent VE","Height",4,2,3
3,"No visual info","Height",2,1,3
3,"Congruent VE","Height",2.75,2,3
4,"No visual info","Height",3,1,3
4,"Congruent VE","Height",4,2,3
5,"No visual info","Height",3,1,3
5,"Congruent VE","Height",3,2,3
6,"No visual info","Height",2,1,3
6,"Congruent VE","Height",2.5,2,3
7,"Congruent VE","Height",2.5,2,3
8,"Congruent VE","Height",3,2,3
9,"Congruent VE","Height",3,2,3
11,"No visual info","Height",3,1,3
11,"Congruent VE","Height",3,2,3
12,"No visual info","Height",3,1,3
12,"Congruent VE","Height",3,2,3
13,"Congruent VE","Height",4,2,3
14,"No visual info","Height",3,1,3
14,"Congruent VE","Height",3,2,3
15,"No visual info","Height",5,1,3
15,"Congruent VE","Height",5,2,3
16,"Congruent VE","Height",4,2,3
17,"No visual info","Height",3,1,3
17,"Congruent VE","Height",4,2,3
19,"No visual info","Height",5,1,3
19,"Congruent VE","Height",3.5,2,3
20,"No visual info","Height",3,1,3
20,"Congruent VE","Height",5,2,3
1,"No visual info","Depth",2,1,4
2,"No visual info","Depth",4,1,4
2,"Large VE","Depth",7,2,4
3,"No visual info","Depth",7,1,4
3,"Large VE","Depth",8,2,4
4,"No visual info","Depth",10,1,4
4,"Large VE","Depth",15,2,4
5,"No visual info","Depth",5,1,4
5,"Large VE","Depth",10,2,4
6,"Large VE","Depth",12.5,2,4
7,"No visual info","Depth",15,1,4
8,"No visual info","Depth",4,1,4
8,"Large VE","Depth",8,2,4
9,"No visual info","Depth",4,1,4
9,"Large VE","Depth",8,2,4
10,"No visual info","Depth",4,1,4
10,"Large VE","Depth",6,2,4
11,"No visual info","Depth",6.5,1,4
11,"Large VE","Depth",12,2,4
12,"Large VE","Depth",15,2,4
13,"No visual info","Depth",10,1,4
14,"No visual info","Depth",4,1,4
14,"Large VE","Depth",6,2,4
15,"No visual info","Depth",3,1,4
15,"Large VE","Depth",15,2,4
16,"No visual info","Depth",2,1,4
16,"Large VE","Depth",15,2,4
1,"No visual info","Width",2,1,4
2,"No visual info","Width",5,1,4
2,"Large VE","Width",5,2,4
3,"Large VE","Width",8,2,4
4,"No visual info","Width",5,1,4
4,"Large VE","Width",5,2,4
5,"No visual info","Width",6,1,4
5,"Large VE","Width",4,2,4
6,"Large VE","Width",8,2,4
8,"No visual info","Width",4,1,4
8,"Large VE","Width",5.5,2,4
9,"No visual info","Width",4,1,4
9,"Large VE","Width",3,2,4
10,"No visual info","Width",4,1,4
10,"Large VE","Width",3.5,2,4
11,"No visual info","Width",8,1,4
11,"Large VE","Width",5,2,4
14,"No visual info","Width",4,1,4
14,"Large VE","Width",3,2,4
15,"No visual info","Width",3,1,4
16,"No visual info","Width",8,1,4
1,"No visual info","Height",5,1,4
2,"No visual info","Height",3,1,4
2,"Large VE","Height",3,2,4
4,"No visual info","Height",3,1,4
4,"Large VE","Height",3,2,4
5,"No visual info","Height",3,1,4
5,"Large VE","Height",3,2,4
6,"Large VE","Height",5,2,4
7,"No visual info","Height",5,1,4
7,"Large VE","Height",5,2,4
8,"No visual info","Height",3.5,1,4
8,"Large VE","Height",3,2,4
9,"No visual info","Height",3,1,4
9,"Large VE","Height",3,2,4
10,"No visual info","Height",3,1,4
10,"Large VE","Height",2.5,2,4
11,"No visual info","Height",3.5,1,4
11,"Large VE","Height",3,2,4
13,"No visual info","Height",5,1,4
14,"No visual info","Height",3,1,4
14,"Large VE","Height",3,2,4
15,"No visual info","Height",3,1,4
15,"Large VE","Height",3,2,4
16,"No visual info","Height",2.5,1,4
16,"Large VE","Height",2.2,2,4
